grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
x, a_star, gap, panqueca6, '21 3 6 4 19 15 14 2 7 24 8 18 16 11 25 5 12 0 17 9 27 23 10 13 26 22 1 20', 27, 26, 4841533, 30.9086, 156640
x, a_star, gap, panqueca6, '21 24 23 20 19 25 0 16 22 6 5 14 4 13 7 1 8 17 11 15 3 18 26 27 12 9 10 2', 25, 22, 35757859, 227.455, 157209
x, a_star, gap, panqueca6, '14 3 6 8 16 1 7 11 13 12 19 18 20 10 21 15 5 27 24 25 23 2 26 17 22 4 0 9', 26, 24, 5873632, 37.0076, 158714
x, a_star, gap, panqueca6, '23 7 26 22 2 6 3 21 0 27 12 16 13 17 24 5 10 9 1 14 4 15 8 11 25 19 20 18', 27, 25, 14549052, 92.5306, 157235
x, a_star, gap, panqueca6, '23 6 22 14 16 8 25 4 2 26 19 11 1 12 15 9 24 17 27 13 3 20 0 5 21 7 18 10', 28, 27, 3953400, 25.0729, 157676
x, a_star, gap, panqueca6, '25 16 5 15 4 2 7 27 18 10 0 21 23 14 22 17 26 13 24 19 20 3 11 12 9 6 8 1', na, na, na, na, na 
x, a_star, gap, panqueca6, '22 20 9 18 10 8 4 0 21 26 15 11 23 14 27 3 6 12 17 25 5 24 16 19 2 13 7 1', 28, 27, 4301106, 27.1715, 158295
x, a_star, gap, panqueca6, '6 23 5 27 15 14 17 24 18 4 26 21 16 7 10 8 11 25 20 12 13 3 22 1 19 0 9 2', 27, 25, 3352113, 21.4047, 156607
x, a_star, gap, panqueca6, '5 10 20 27 8 26 12 22 11 18 16 9 15 2 25 24 3 4 21 19 13 0 23 7 1 14 6 17', 27, 25, 3557859, 22.7193, 156600
x, a_star, gap, panqueca6, '1 15 26 7 6 13 10 8 24 3 4 14 16 21 11 12 25 18 2 5 23 27 0 9 17 19 22 20', 26, 24, 1098360, 6.95408, 157945
x, a_star, gap, panqueca6, '13 27 23 2 14 9 0 12 4 15 22 5 1 8 6 11 21 7 20 24 3 25 16 26 17 18 19 10', 27, 25, 7726064, 48.5504, 159135
x, a_star, gap, panqueca6, '15 6 13 12 4 22 9 5 23 2 11 20 17 7 14 19 27 0 25 1 24 21 8 3 10 26 16 18', 28, 26, 30843499, 196.361, 157075
x, a_star, gap, panqueca6, '3 26 16 10 5 19 14 9 15 8 6 20 24 13 7 2 0 21 25 27 22 12 18 4 17 23 11 1', 28, 27, 4448021, 28.0389, 158638
x, a_star, gap, panqueca6, '5 14 21 26 25 24 0 16 12 17 23 20 18 10 2 27 9 13 3 11 19 7 4 15 1 6 22 8', 26, 25, 1874111, 11.9291, 157104
x, a_star, gap, panqueca6, '15 23 16 8 5 19 20 2 13 27 18 4 11 12 26 21 1 0 9 6 25 17 3 22 10 24 7 14', na, na, na, na, na 
x, a_star, gap, panqueca6, '20 13 17 11 22 1 4 24 5 6 18 14 15 0 2 10 16 21 12 3 26 23 19 9 25 7 27 8', 26, 25, 1214384, 7.7323, 157053
x, a_star, gap, panqueca6, '11 1 19 18 10 21 17 22 4 15 26 14 7 3 25 20 24 0 5 12 2 27 13 6 23 16 9 8', 27, 25, 18325601, 117.17, 156401
x, a_star, gap, panqueca6, '11 1 12 20 22 21 18 6 7 26 24 2 23 9 17 8 16 5 10 19 25 0 3 27 15 4 13 14', 26, 24, 13277329, 86.0992, 154210
x, a_star, gap, panqueca6, '12 4 2 17 6 27 0 18 19 10 23 24 21 8 3 5 14 26 22 25 9 1 7 11 15 13 16 20', 27, 25, 4960246, 31.4212, 157863
x, a_star, gap, panqueca6, '20 9 21 6 25 12 27 11 13 1 18 15 24 3 19 22 26 16 2 4 8 5 10 7 17 14 0 23', 29, 27, 10721623, 67.9734, 157733
x, a_star, gap, panqueca6, '3 1 13 26 9 18 5 27 7 14 15 6 23 12 17 2 8 4 24 11 0 25 10 22 19 20 16 21', 27, 25, 5855285, 37.2185, 157322
x, a_star, gap, panqueca6, '21 13 11 0 18 10 6 4 27 3 25 2 15 1 20 7 5 8 19 12 22 9 23 26 17 24 16 14', 28, 27, 500640, 3.18512, 157181
x, a_star, gap, panqueca6, '9 10 0 2 6 15 18 4 12 24 20 19 27 14 11 5 8 3 7 25 17 21 26 1 23 13 22 16', 27, 25, 28537831, 180.074, 158478
x, a_star, gap, panqueca6, '2 3 1 9 26 18 7 25 8 13 19 11 23 6 10 14 22 5 27 24 16 4 15 12 20 17 0 21', 28, 26, 10321731, 65.7042, 157094
x, a_star, gap, panqueca6, '3 17 13 26 10 24 1 9 5 12 15 22 19 27 18 8 4 6 7 16 11 25 14 21 23 0 20 2', 28, 26, 18112330, 114.313, 158446
x, a_star, gap, panqueca6, '7 6 10 12 8 18 20 13 14 23 24 19 0 22 17 16 3 27 4 1 25 15 21 11 26 9 5 2', 25, 23, 18995825, 120.294, 157911
x, a_star, gap, panqueca6, '18 21 16 24 4 6 7 11 9 0 26 10 25 1 15 17 3 14 20 19 27 22 2 12 13 23 5 8', 25, 24, 167050, 1.05975, 157631
x, a_star, gap, panqueca6, '1 15 13 14 26 22 17 8 5 24 6 10 4 19 0 11 25 7 3 2 23 20 18 9 21 12 27 16', 27, 25, 1832555, 11.6661, 157084

