grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
x, a_star, pdb, 15puzzle_korf, '7 15 8 2 13 6 3 12 11 B 4 10 9 5 1 14', 53, 43, 1259115, 0.310564, 4.05429e+06
x, a_star, pdb, 15puzzle_korf, '14 13 15 7 11 12 9 5 6 B 2 1 4 8 10 3', 57, 43, 20866644, 3.89779, 5.35346e+06
x, a_star, pdb, 15puzzle_korf, '13 5 4 10 9 12 8 14 2 3 7 1 B 15 11 6', 55, 43, 4916279, 0.887947, 5.53668e+06
x, a_star, pdb, 15puzzle_korf, '14 7 8 2 13 11 10 4 9 12 5 B 3 6 1 15', 59, 41, 137722943, 24.8302, 5.54658e+06
x, a_star, pdb, 15puzzle_korf, '5 12 10 7 15 11 14 B 8 2 1 13 3 4 9 6', 56, 42, 8781819, 1.56306, 5.61834e+06
x, a_star, pdb, 15puzzle_korf, '4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 B', 56, 42, 5611908, 1.01958, 5.50415e+06
x, a_star, pdb, 15puzzle_korf, '14 7 1 9 12 3 6 15 8 11 2 5 10 B 4 13', 52, 42, 640378, 0.113299, 5.65211e+06
x, a_star, pdb, 15puzzle_korf, '2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 B', 52, 30, 53431387, 9.61599, 5.55651e+06
x, a_star, pdb, 15puzzle_korf, '12 11 15 3 8 B 4 2 6 13 9 5 14 1 10 7', 50, 34, 5980967, 1.08366, 5.51925e+06
x, a_star, pdb, 15puzzle_korf, '3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 B', 46, 34, 356094, 0.06473, 5.50122e+06
x, a_star, pdb, 15puzzle_korf, '13 11 8 9 B 15 7 10 4 3 6 14 5 12 2 1', 59, 45, 20241430, 3.61912, 5.59291e+06
x, a_star, pdb, 15puzzle_korf, '5 9 13 14 6 3 7 12 10 8 4 B 15 2 11 1', 57, 43, 42226006, 7.66957, 5.50566e+06
x, a_star, pdb, 15puzzle_korf, '14 1 9 6 4 8 12 5 7 2 3 B 10 11 13 15', 45, 35, 28586, 0.005265, 5.42944e+06
x, a_star, pdb, 15puzzle_korf, '3 6 5 2 10 B 15 14 1 4 13 12 9 8 11 7', 46, 38, 1066896, 0.191307, 5.57688e+06
x, a_star, pdb, 15puzzle_korf, '7 6 8 1 11 5 14 10 3 4 9 13 15 2 B 12', 59, 43, 25539074, 4.65732, 5.48364e+06
x, a_star, pdb, 15puzzle_korf, '13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 B', 62, 46, 268330723, 47.6301, 5.63364e+06
x, a_star, pdb, 15puzzle_korf, '1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 B', 42, 28, 973012, 0.173885, 5.59572e+06
x, a_star, pdb, 15puzzle_korf, '15 14 B 4 11 1 6 13 7 5 8 9 3 2 10 12', 66, 48, 413011971, 85.4313, 4.83444e+06
x, a_star, pdb, 15puzzle_korf, '6 B 14 12 1 15 9 10 11 4 7 2 8 3 5 13', 55, 43, 1077741, 0.269169, 4.00396e+06
x, a_star, pdb, 15puzzle_korf, '7 11 8 3 14 B 6 15 1 4 13 9 5 12 2 10', 46, 38, 170324, 0.030554, 5.57452e+06
x, a_star, pdb, 15puzzle_korf, '6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 B', 52, 36, 5079596, 0.944666, 5.37713e+06
x, a_star, pdb, 15puzzle_korf, '12 8 14 6 11 4 7 B 5 1 10 15 3 13 9 2', 54, 38, 3454856, 0.648137, 5.33044e+06
x, a_star, pdb, 15puzzle_korf, '14 3 9 1 15 8 4 5 11 7 10 13 B 2 12 6', 59, 45, 59925906, 11.6454, 5.14591e+06
x, a_star, pdb, 15puzzle_korf, '10 9 3 11 B 13 2 14 5 6 4 7 8 15 1 12', 49, 33, 6557392, 1.26421, 5.18696e+06
x, a_star, pdb, 15puzzle_korf, '7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 B', 54, 38, 7388085, 1.42953, 5.16819e+06
x, a_star, pdb, 15puzzle_korf, '11 4 2 7 1 B 10 15 6 9 14 8 3 13 5 12', 52, 36, 15339635, 3.06453, 5.00554e+06
x, a_star, pdb, 15puzzle_korf, '5 7 3 12 15 13 14 8 B 10 9 6 1 4 2 11', 58, 40, 20727710, 4.08079, 5.07934e+06
x, a_star, pdb, 15puzzle_korf, '14 1 8 15 2 6 B 3 9 12 10 13 4 7 5 11', 53, 41, 8322939, 1.58517, 5.25049e+06
x, a_star, pdb, 15puzzle_korf, '13 14 6 12 4 5 1 B 9 3 10 2 15 11 8 7', 52, 36, 1472279, 0.286778, 5.13386e+06
x, a_star, pdb, 15puzzle_korf, '9 8 B 2 15 1 4 14 3 10 7 5 11 13 6 12', 54, 40, 4761851, 0.913903, 5.21046e+06
x, a_star, pdb, 15puzzle_korf, '12 15 2 6 1 14 4 8 5 3 7 B 10 13 9 11', 47, 37, 120818, 0.023892, 5.05684e+06
x, a_star, pdb, 15puzzle_korf, '12 8 15 13 1 B 5 4 6 3 2 11 9 7 14 10', 50, 44, 86252, 0.016076, 5.36526e+06
x, a_star, pdb, 15puzzle_korf, '14 10 9 4 13 6 5 8 2 12 7 B 1 3 11 15', 59, 43, 193950234, 37.582, 5.16072e+06
x, a_star, pdb, 15puzzle_korf, '14 3 5 15 11 6 13 9 B 10 2 12 4 1 7 8', 60, 42, 165999207, 31.2175, 5.3175e+06
x, a_star, pdb, 15puzzle_korf, '6 11 7 8 13 2 5 4 1 10 3 9 14 B 12 15', 52, 38, 13046301, 2.43558, 5.35655e+06
x, a_star, pdb, 15puzzle_korf, '1 6 12 14 3 2 15 8 4 5 13 9 B 7 11 10', 55, 41, 2663887, 0.483643, 5.50796e+06
x, a_star, pdb, 15puzzle_korf, '12 6 B 4 7 3 15 1 13 9 8 11 2 14 5 10', 52, 40, 1764912, 0.331719, 5.3205e+06
x, a_star, pdb, 15puzzle_korf, '8 1 7 12 11 B 10 5 9 15 6 13 14 2 3 4', 58, 40, 11530719, 2.16109, 5.33561e+06
x, a_star, pdb, 15puzzle_korf, '9 B 4 10 1 14 15 3 12 6 5 7 11 13 8 2', 49, 35, 3501254, 0.653893, 5.35448e+06
x, a_star, pdb, 15puzzle_korf, '11 5 1 14 4 12 10 B 2 7 13 3 9 15 6 8', 54, 36, 14063024, 2.63605, 5.33489e+06
x, a_star, pdb, 15puzzle_korf, '8 13 10 9 11 3 15 6 B 1 2 14 12 5 4 7', 54, 36, 10972386, 2.0701, 5.30042e+06
x, a_star, pdb, 15puzzle_korf, '4 5 7 2 9 14 12 13 B 3 6 11 8 1 15 10', 42, 32, 114608, 0.021243, 5.39509e+06
x, a_star, pdb, 15puzzle_korf, '11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 B', 64, 52, 19825916, 3.64718, 5.43595e+06
x, a_star, pdb, 15puzzle_korf, '12 9 B 6 8 3 5 14 2 4 11 7 10 1 15 13', 50, 36, 2401449, 0.44425, 5.40563e+06
x, a_star, pdb, 15puzzle_korf, '3 14 9 7 12 15 B 4 1 8 5 6 11 10 2 13', 51, 39, 453622, 0.087747, 5.16966e+06
x, a_star, pdb, 15puzzle_korf, '8 4 6 1 14 12 2 15 13 10 9 5 3 7 B 11', 49, 39, 307768, 0.054822, 5.61395e+06
x, a_star, pdb, 15puzzle_korf, '6 10 1 14 15 8 3 5 13 B 2 7 4 9 11 12', 47, 35, 654703, 0.122036, 5.36483e+06
x, a_star, pdb, 15puzzle_korf, '8 11 4 6 7 3 10 9 2 12 15 13 B 1 5 14', 49, 41, 89734, 0.015742, 5.70029e+06
x, a_star, pdb, 15puzzle_korf, '10 B 2 4 5 1 6 12 11 13 9 7 15 3 14 8', 59, 37, 102773153, 19.2796, 5.33066e+06
x, a_star, pdb, 15puzzle_korf, '12 5 13 11 2 10 B 9 7 8 4 3 14 6 15 1', 53, 39, 13814683, 2.59735, 5.31876e+06
x, a_star, pdb, 15puzzle_korf, '10 2 8 4 15 B 1 14 11 13 3 6 9 7 5 12', 56, 44, 9330746, 1.74252, 5.35474e+06
x, a_star, pdb, 15puzzle_korf, '10 8 B 12 3 7 6 2 1 14 4 11 15 13 9 5', 56, 42, 4921431, 0.907431, 5.42348e+06
x, a_star, pdb, 15puzzle_korf, '14 9 12 13 15 4 8 10 B 2 1 7 3 11 5 6', 64, 50, 300663018, 59.3236, 5.06819e+06
x, a_star, pdb, 15puzzle_korf, '12 11 B 8 10 2 13 15 5 4 7 3 6 9 14 1', 56, 40, 19248032, 4.67645, 4.11595e+06
x, a_star, pdb, 15puzzle_korf, '13 8 14 3 9 1 B 7 15 5 4 10 12 2 6 11', 41, 33, 81656, 0.015513, 5.26371e+06
x, a_star, pdb, 15puzzle_korf, '3 15 2 5 11 6 4 7 12 9 1 B 13 14 10 8', 55, 33, 64922998, 13.1732, 4.92842e+06
