grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
x, ida, pdb555, 15puzzle_korf, '7 15 8 2 13 6 3 12 11 B 4 10 9 5 1 14', 53, 43, 1854002, 0.495704, 3.74014e+06
x, ida, pdb555, 15puzzle_korf, '14 13 15 7 11 12 9 5 6 B 2 1 4 8 10 3', 57, 43, 39454506, 10.0374, 3.93075e+06
x, ida, pdb555, 15puzzle_korf, '13 5 4 10 9 12 8 14 2 3 7 1 B 15 11 6', 55, 43, 5836974, 1.47213, 3.96499e+06
x, ida, pdb555, 15puzzle_korf, '14 7 8 2 13 11 10 4 9 12 5 B 3 6 1 15', 59, 41, 170803557, 43.6937, 3.90911e+06
x, ida, pdb555, 15puzzle_korf, '5 12 10 7 15 11 14 B 8 2 1 13 3 4 9 6', 56, 42, 4519518, 1.14008, 3.96422e+06
x, ida, pdb555, 15puzzle_korf, '4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 B', 56, 42, 8335167, 2.13443, 3.90509e+06
x, ida, pdb555, 15puzzle_korf, '14 7 1 9 12 3 6 15 8 11 2 5 10 B 4 13', 52, 42, 574355, 0.14449, 3.97505e+06
x, ida, pdb555, 15puzzle_korf, '2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 B', 52, 30, 44582419, 11.2438, 3.96507e+06
x, ida, pdb555, 15puzzle_korf, '12 11 15 3 8 B 4 2 6 13 9 5 14 1 10 7', 50, 34, 6965362, 1.82401, 3.8187e+06
x, ida, pdb555, 15puzzle_korf, '3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 B', 46, 34, 709194, 0.17956, 3.94962e+06
x, ida, pdb555, 15puzzle_korf, '13 11 8 9 B 15 7 10 4 3 6 14 5 12 2 1', 59, 45, 55743937, 14.0269, 3.97408e+06
x, ida, pdb555, 15puzzle_korf, '5 9 13 14 6 3 7 12 10 8 4 B 15 2 11 1', 57, 43, 51683987, 13.1446, 3.93194e+06
x, ida, pdb555, 15puzzle_korf, '14 1 9 6 4 8 12 5 7 2 3 B 10 11 13 15', 45, 35, 33797, 0.008589, 3.93492e+06
x, ida, pdb555, 15puzzle_korf, '3 6 5 2 10 B 15 14 1 4 13 12 9 8 11 7', 46, 38, 368682, 0.093986, 3.92273e+06
x, ida, pdb555, 15puzzle_korf, '7 6 8 1 11 5 14 10 3 4 9 13 15 2 B 12', 59, 43, 21166143, 5.421, 3.90447e+06
x, ida, pdb555, 15puzzle_korf, '13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 B', 62, 46, 90671086, 23.2485, 3.90009e+06
x, ida, pdb555, 15puzzle_korf, '1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 B', 42, 28, 1331970, 0.337968, 3.94111e+06
x, ida, pdb555, 15puzzle_korf, '15 14 B 4 11 1 6 13 7 5 8 9 3 2 10 12', 66, 48, 126486366, 32.9649, 3.83701e+06
x, ida, pdb555, 15puzzle_korf, '6 B 14 12 1 15 9 10 11 4 7 2 8 3 5 13', 55, 43, 3324841, 0.828571, 4.01274e+06
x, ida, pdb555, 15puzzle_korf, '7 11 8 3 14 B 6 15 1 4 13 9 5 12 2 10', 46, 38, 201185, 0.050701, 3.96807e+06
x, ida, pdb555, 15puzzle_korf, '6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 B', 52, 36, 5581793, 1.40583, 3.97045e+06
x, ida, pdb555, 15puzzle_korf, '12 8 14 6 11 4 7 B 5 1 10 15 3 13 9 2', 54, 38, 18216951, 4.57719, 3.97994e+06
x, ida, pdb555, 15puzzle_korf, '14 3 9 1 15 8 4 5 11 7 10 13 B 2 12 6', 59, 45, 29754109, 8.07558, 3.68445e+06
x, ida, pdb555, 15puzzle_korf, '10 9 3 11 B 13 2 14 5 6 4 7 8 15 1 12', 49, 33, 4891311, 1.23327, 3.96612e+06
x, ida, pdb555, 15puzzle_korf, '7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 B', 54, 38, 9419788, 2.40824, 3.91148e+06
x, ida, pdb555, 15puzzle_korf, '11 4 2 7 1 B 10 15 6 9 14 8 3 13 5 12', 52, 36, 9532299, 2.42617, 3.92894e+06
x, ida, pdb555, 15puzzle_korf, '5 7 3 12 15 13 14 8 B 10 9 6 1 4 2 11', 58, 40, 36462896, 9.53049, 3.82592e+06
x, ida, pdb555, 15puzzle_korf, '14 1 8 15 2 6 B 3 9 12 10 13 4 7 5 11', 53, 41, 7690255, 2.19041, 3.51087e+06
x, ida, pdb555, 15puzzle_korf, '13 14 6 12 4 5 1 B 9 3 10 2 15 11 8 7', 52, 36, 2256796, 0.659536, 3.42179e+06
x, ida, pdb555, 15puzzle_korf, '9 8 B 2 15 1 4 14 3 10 7 5 11 13 6 12', 54, 40, 9947640, 2.71268, 3.66709e+06
x, ida, pdb555, 15puzzle_korf, '12 15 2 6 1 14 4 8 5 3 7 B 10 13 9 11', 47, 37, 155624, 0.039851, 3.90515e+06
x, ida, pdb555, 15puzzle_korf, '12 8 15 13 1 B 5 4 6 3 2 11 9 7 14 10', 50, 44, 100908, 0.026087, 3.86813e+06
x, ida, pdb555, 15puzzle_korf, '14 10 9 4 13 6 5 8 2 12 7 B 1 3 11 15', 59, 43, 182546864, 49.6115, 3.67952e+06
x, ida, pdb555, 15puzzle_korf, '14 3 5 15 11 6 13 9 B 10 2 12 4 1 7 8', 60, 42, 176031177, 48.9032, 3.59959e+06
x, ida, pdb555, 15puzzle_korf, '6 11 7 8 13 2 5 4 1 10 3 9 14 B 12 15', 52, 38, 14032554, 3.57421, 3.92606e+06
x, ida, pdb555, 15puzzle_korf, '1 6 12 14 3 2 15 8 4 5 13 9 B 7 11 10', 55, 41, 2842266, 0.7024, 4.04651e+06
x, ida, pdb555, 15puzzle_korf, '12 6 B 4 7 3 15 1 13 9 8 11 2 14 5 10', 52, 40, 975117, 0.247203, 3.9446e+06
x, ida, pdb555, 15puzzle_korf, '8 1 7 12 11 B 10 5 9 15 6 13 14 2 3 4', 58, 40, 14146671, 3.61949, 3.90847e+06
x, ida, pdb555, 15puzzle_korf, '9 B 4 10 1 14 15 3 12 6 5 7 11 13 8 2', 49, 35, 4423935, 1.28357, 3.44659e+06
x, ida, pdb555, 15puzzle_korf, '11 5 1 14 4 12 10 B 2 7 13 3 9 15 6 8', 54, 36, 21504640, 5.81034, 3.7011e+06
x, ida, pdb555, 15puzzle_korf, '8 13 10 9 11 3 15 6 B 1 2 14 12 5 4 7', 54, 36, 18244733, 5.17754, 3.52382e+06
x, ida, pdb555, 15puzzle_korf, '4 5 7 2 9 14 12 13 B 3 6 11 8 1 15 10', 42, 32, 58439, 0.014807, 3.94671e+06
x, ida, pdb555, 15puzzle_korf, '11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 B', 64, 52, 21915794, 5.89346, 3.71867e+06
x, ida, pdb555, 15puzzle_korf, '12 9 B 6 8 3 5 14 2 4 11 7 10 1 15 13', 50, 36, 2294779, 0.682866, 3.36051e+06
x, ida, pdb555, 15puzzle_korf, '3 14 9 7 12 15 B 4 1 8 5 6 11 10 2 13', 51, 39, 210574, 0.063357, 3.32361e+06
x, ida, pdb555, 15puzzle_korf, '8 4 6 1 14 12 2 15 13 10 9 5 3 7 B 11', 49, 39, 381622, 0.109409, 3.48803e+06
x, ida, pdb555, 15puzzle_korf, '6 10 1 14 15 8 3 5 13 B 2 7 4 9 11 12', 47, 35, 1134198, 0.331657, 3.41979e+06
x, ida, pdb555, 15puzzle_korf, '8 11 4 6 7 3 10 9 2 12 15 13 B 1 5 14', 49, 41, 114217, 0.03262, 3.50144e+06
x, ida, pdb555, 15puzzle_korf, '10 B 2 4 5 1 6 12 11 13 9 7 15 3 14 8', 59, 37, 123828705, 33.1534, 3.73503e+06
x, ida, pdb555, 15puzzle_korf, '12 5 13 11 2 10 B 9 7 8 4 3 14 6 15 1', 53, 39, 17996797, 5.11954, 3.51532e+06
x, ida, pdb555, 15puzzle_korf, '10 2 8 4 15 B 1 14 11 13 3 6 9 7 5 12', 56, 44, 12559406, 3.30542, 3.79964e+06
x, ida, pdb555, 15puzzle_korf, '10 8 B 12 3 7 6 2 1 14 4 11 15 13 9 5', 56, 42, 10681280, 3.2013, 3.33654e+06
x, ida, pdb555, 15puzzle_korf, '14 9 12 13 15 4 8 10 B 2 1 7 3 11 5 6', 64, 50, 372460740, 102.544, 3.63221e+06
x, ida, pdb555, 15puzzle_korf, '12 11 B 8 10 2 13 15 5 4 7 3 6 9 14 1', 56, 40, 35137837, 9.78655, 3.59042e+06
x, ida, pdb555, 15puzzle_korf, '13 8 14 3 9 1 B 7 15 5 4 10 12 2 6 11', 41, 33, 123057, 0.03085, 3.98888e+06
x, ida, pdb555, 15puzzle_korf, '3 15 2 5 11 6 4 7 12 9 1 B 13 14 10 8', 55, 33, 113373190, 31.7239, 3.57375e+06
x, ida, pdb555, 15puzzle_korf, '5 11 6 9 4 13 12 B 8 2 15 10 1 7 3 14', 50, 38, 3497243, 0.863903, 4.04819e+06
x, ida, pdb555, 15puzzle_korf, '5 B 15 8 4 6 1 14 10 11 3 9 7 12 2 13', 51, 37, 3676141, 0.940005, 3.91077e+06
x, ida, pdb555, 15puzzle_korf, '15 14 6 7 10 1 B 11 12 8 4 9 2 5 13 3', 57, 37, 154159594, 44.3301, 3.47754e+06
x, ida, pdb555, 15puzzle_korf, '11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 B', 66, 48, 334867050, 94.2926, 3.55136e+06
x, ida, pdb555, 15puzzle_korf, '6 13 3 2 11 9 5 10 1 7 12 14 8 4 B 15', 45, 33, 455447, 0.136789, 3.32956e+06
x, ida, pdb555, 15puzzle_korf, '4 6 12 B 14 2 9 13 11 8 3 15 7 10 1 5', 57, 43, 8446194, 2.5049, 3.37187e+06
x, ida, pdb555, 15puzzle_korf, '8 10 9 11 14 1 7 15 13 4 B 12 6 2 5 3', 56, 40, 121419043, 33.4584, 3.62896e+06
x, ida, pdb555, 15puzzle_korf, '5 2 14 B 7 8 6 3 11 12 13 15 4 10 9 1', 51, 33, 28391409, 7.59116, 3.74006e+06
x, ida, pdb555, 15puzzle_korf, '7 8 3 2 10 12 4 6 11 13 5 15 B 1 9 14', 47, 35, 444868, 0.124505, 3.57309e+06
x, ida, pdb555, 15puzzle_korf, '11 6 14 12 3 5 1 15 8 B 10 13 9 7 4 2', 61, 45, 205396518, 54.7419, 3.75209e+06
x, ida, pdb555, 15puzzle_korf, '7 1 2 4 8 3 6 11 10 15 B 5 14 12 13 9', 50, 32, 16601791, 4.34365, 3.82209e+06
x, ida, pdb555, 15puzzle_korf, '7 3 1 13 12 10 5 2 8 B 6 11 14 15 4 9', 51, 35, 12659986, 3.57318, 3.54306e+06
x, ida, pdb555, 15puzzle_korf, '6 B 5 15 1 14 4 9 2 13 8 10 11 12 7 3', 53, 39, 22014845, 5.71542, 3.85184e+06
x, ida, pdb555, 15puzzle_korf, '15 1 3 12 4 B 6 5 2 8 14 9 13 10 7 11', 52, 34, 23066544, 6.30294, 3.65965e+06
x, ida, pdb555, 15puzzle_korf, '5 7 B 11 12 1 9 10 15 6 2 3 8 4 13 14', 44, 32, 402534, 0.098419, 4.09e+06
x, ida, pdb555, 15puzzle_korf, '12 15 11 10 4 5 14 B 13 7 1 2 9 8 3 6', 56, 42, 60463644, 16.0647, 3.76375e+06
x, ida, pdb555, 15puzzle_korf, '6 14 10 5 15 8 7 1 3 4 2 B 12 9 11 13', 49, 37, 240989, 0.060614, 3.9758e+06
x, ida, pdb555, 15puzzle_korf, '14 13 4 11 15 8 6 9 B 7 3 1 2 10 12 5', 56, 48, 3528702, 0.899772, 3.92177e+06
x, ida, pdb555, 15puzzle_korf, '14 4 B 10 6 5 1 3 9 2 13 15 12 7 8 11', 48, 34, 4212580, 1.18252, 3.56238e+06
x, ida, pdb555, 15puzzle_korf, '15 10 8 3 B 6 9 5 1 14 13 11 7 2 12 4', 57, 41, 57411279, 17.657, 3.25147e+06
x, ida, pdb555, 15puzzle_korf, 'B 13 2 4 12 14 6 9 15 1 10 3 11 5 8 7', 54, 34, 5567122, 1.41216, 3.94227e+06
x, ida, pdb555, 15puzzle_korf, '3 14 13 6 4 15 8 9 5 12 10 B 2 7 1 11', 53, 41, 2526983, 0.728858, 3.46704e+06
