grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
x, ida, manhattan, 15puzzle_korf, '7 15 8 2 13 6 3 12 11 B 4 10 9 5 1 14', 53, 41, 18535402, 69.4143, 267026
x, ida, manhattan, 15puzzle_korf, '14 13 15 7 11 12 9 5 6 B 2 1 4 8 10 3', na, na, na, na, na 
x, ida, manhattan, 15puzzle_korf, '13 5 4 10 9 12 8 14 2 3 7 1 B 15 11 6', 55, 43, 18983863, 97.6493, 194409
x, ida, manhattan, 15puzzle_korf, '14 7 8 2 13 11 10 4 9 12 5 B 3 6 1 15', na, na, na, na, na 
x, ida, manhattan, 15puzzle_korf, '5 12 10 7 15 11 14 B 8 2 1 13 3 4 9 6', 56, 42, 82631584, 421.457, 196062
x, ida, manhattan, 15puzzle_korf, '4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 B', 56, 42, 16826517, 90.1995, 186548
x, ida, manhattan, 15puzzle_korf, '14 7 1 9 12 3 6 15 8 11 2 5 10 B 4 13', 52, 36, 13120959, 69.7845, 188021
x, ida, manhattan, 15puzzle_korf, '2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 B', na, na, na, na, na 
x, ida, manhattan, 15puzzle_korf, '12 11 15 3 8 B 4 2 6 13 9 5 14 1 10 7', 50, 32, 41903754, 189.175, 221508
x, ida, manhattan, 15puzzle_korf, '3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 B', 46, 32, 3365201, 16.257, 207000
x, ida, manhattan, 15puzzle_korf, '13 11 8 9 B 15 7 10 4 3 6 14 5 12 2 1', na, na, na, na, na 
x, ida, manhattan, 15puzzle_korf, '5 9 13 14 6 3 7 12 10 8 4 B 15 2 11 1', 57, 43, 115279831, 430.701, 267656
x, ida, manhattan, 15puzzle_korf, '14 1 9 6 4 8 12 5 7 2 3 B 10 11 13 15', 45, 35, 139857, 0.575206, 243142
x, ida, manhattan, 15puzzle_korf, '3 6 5 2 10 B 15 14 1 4 13 12 9 8 11 7', 46, 36, 6593494, 27.73, 237775
x, ida, manhattan, 15puzzle_korf, '7 6 8 1 11 5 14 10 3 4 9 13 15 2 B 12', na, na, na, na, na 
x, ida, manhattan, 15puzzle_korf, '13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 B', na, na, na, na, na 
x, ida, manhattan, 15puzzle_korf, '1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 B', 42, 24, 7980397, 29.4305, 271161
x, ida, manhattan, 15puzzle_korf, '15 14 B 4 11 1 6 13 7 5 8 9 3 2 10 12', na, na, na, na, na 
x, ida, manhattan, 15puzzle_korf, '6 B 14 12 1 15 9 10 11 4 7 2 8 3 5 13', 55, 43, 26412243, 97.6093, 270592
x, ida, manhattan, 15puzzle_korf, '7 11 8 3 14 B 6 15 1 4 13 9 5 12 2 10', 46, 36, 2117271, 7.75399, 273056
x, ida, manhattan, 15puzzle_korf, '6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 B', 52, 36, 30091114, 111.797, 269159
