grupo, algorithm, heuristic, weight, domain, instance, cost, h0, generated, time, gen_per_sec
x, wida, manhattan, 1.5, 15puzzle_korf, '7 15 8 2 13 6 3 12 11 B 4 10 9 5 1 14', 57, 61, 127759, 0.474419, 269296
x, wida, manhattan, 1.5, 15puzzle_korf, '14 13 15 7 11 12 9 5 6 B 2 1 4 8 10 3', 61, 61, 3726899, 14.9733, 248904
x, wida, manhattan, 1.5, 15puzzle_korf, '13 5 4 10 9 12 8 14 2 3 7 1 B 15 11 6', 63, 64, 194626, 0.794839, 244862
x, wida, manhattan, 1.5, 15puzzle_korf, '14 7 8 2 13 11 10 4 9 12 5 B 3 6 1 15', 61, 61, 8726663, 33.6262, 259520
x, wida, manhattan, 1.5, 15puzzle_korf, '5 12 10 7 15 11 14 B 8 2 1 13 3 4 9 6', 62, 63, 606586, 2.24933, 269674
x, wida, manhattan, 1.5, 15puzzle_korf, '4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 B', 60, 63, 167286, 0.623033, 268503
x, wida, manhattan, 1.5, 15puzzle_korf, '14 7 1 9 12 3 6 15 8 11 2 5 10 B 4 13', 58, 54, 277695, 1.05337, 263624
x, wida, manhattan, 1.5, 15puzzle_korf, '2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 B', 54, 45, 1337421, 5.12284, 261070
x, wida, manhattan, 1.5, 15puzzle_korf, '12 11 15 3 8 B 4 2 6 13 9 5 14 1 10 7', 54, 48, 1695772, 6.70708, 252833
x, wida, manhattan, 1.5, 15puzzle_korf, '3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 B', 48, 48, 80099, 0.320832, 249660
x, wida, manhattan, 1.5, 15puzzle_korf, '13 11 8 9 B 15 7 10 4 3 6 14 5 12 2 1', 63, 64, 279952, 1.33017, 210463
x, wida, manhattan, 1.5, 15puzzle_korf, '5 9 13 14 6 3 7 12 10 8 4 B 15 2 11 1', 59, 64, 8389, 0.035365, 237212
x, wida, manhattan, 1.5, 15puzzle_korf, '14 1 9 6 4 8 12 5 7 2 3 B 10 11 13 15', 51, 52, 14869, 0.05728, 259584
x, wida, manhattan, 1.5, 15puzzle_korf, '3 6 5 2 10 B 15 14 1 4 13 12 9 8 11 7', 50, 54, 753809, 3.0603, 246319
x, wida, manhattan, 1.5, 15puzzle_korf, '7 6 8 1 11 5 14 10 3 4 9 13 15 2 B 12', na, na, na, na, na 
x, wida, manhattan, 1.5, 15puzzle_korf, '13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 B', 66, 66, 696524, 2.78959, 249687
x, wida, manhattan, 1.5, 15puzzle_korf, '1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 B', 46, 36, 2498223, 10.2549, 243612
x, wida, manhattan, 1.5, 15puzzle_korf, '15 14 B 4 11 1 6 13 7 5 8 9 3 2 10 12', 72, 69, 2334706, 10.0994, 231172
x, wida, manhattan, 1.5, 15puzzle_korf, '6 B 14 12 1 15 9 10 11 4 7 2 8 3 5 13', 63, 64, 1631085, 6.36563, 256233
x, wida, manhattan, 1.5, 15puzzle_korf, '7 11 8 3 14 B 6 15 1 4 13 9 5 12 2 10', 50, 54, 241590, 0.982602, 245868
x, wida, manhattan, 1.5, 15puzzle_korf, '6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 B', 56, 54, 219363, 0.908853, 241362
x, wida, manhattan, 1.5, 15puzzle_korf, '12 8 14 6 11 4 7 B 5 1 10 15 3 13 9 2', 58, 51, 1730990, 7.06495, 245011
x, wida, manhattan, 1.5, 15puzzle_korf, '14 3 9 1 15 8 4 5 11 7 10 13 B 2 12 6', 61, 61, 803782, 2.99797, 268108
x, wida, manhattan, 1.5, 15puzzle_korf, '10 9 3 11 B 13 2 14 5 6 4 7 8 15 1 12', 53, 49, 3135426, 11.7364, 267153
x, wida, manhattan, 1.5, 15puzzle_korf, '7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 B', 54, 51, 337678, 1.27182, 265507
x, wida, manhattan, 1.5, 15puzzle_korf, '11 4 2 7 1 B 10 15 6 9 14 8 3 13 5 12', 52, 48, 135355, 0.506095, 267450
x, wida, manhattan, 1.5, 15puzzle_korf, '5 7 3 12 15 13 14 8 B 10 9 6 1 4 2 11', 62, 60, 662890, 2.48544, 266709
x, wida, manhattan, 1.5, 15puzzle_korf, '14 1 8 15 2 6 B 3 9 12 10 13 4 7 5 11', 55, 49, 8592853, 34.2993, 250526
x, wida, manhattan, 1.5, 15puzzle_korf, '13 14 6 12 4 5 1 B 9 3 10 2 15 11 8 7', 58, 54, 260885, 1.20015, 217376
x, wida, manhattan, 1.5, 15puzzle_korf, '9 8 B 2 15 1 4 14 3 10 7 5 11 13 6 12', 58, 57, 1332827, 5.10158, 261258
x, wida, manhattan, 1.5, 15puzzle_korf, '12 15 2 6 1 14 4 8 5 3 7 B 10 13 9 11', 51, 52, 154234, 0.572244, 269525
x, wida, manhattan, 1.5, 15puzzle_korf, '12 8 15 13 1 B 5 4 6 3 2 11 9 7 14 10', 54, 57, 4607, 0.017181, 268145
x, wida, manhattan, 1.5, 15puzzle_korf, '14 10 9 4 13 6 5 8 2 12 7 B 1 3 11 15', 63, 64, 817043, 3.0275, 269874
x, wida, manhattan, 1.5, 15puzzle_korf, '14 3 5 15 11 6 13 9 B 10 2 12 4 1 7 8', 62, 63, 1948225, 7.29082, 267216
x, wida, manhattan, 1.5, 15puzzle_korf, '6 11 7 8 13 2 5 4 1 10 3 9 14 B 12 15', 52, 54, 176807, 0.656177, 269450
x, wida, manhattan, 1.5, 15puzzle_korf, '1 6 12 14 3 2 15 8 4 5 13 9 B 7 11 10', 61, 58, 1042773, 3.9429, 264468
x, wida, manhattan, 1.5, 15puzzle_korf, '12 6 B 4 7 3 15 1 13 9 8 11 2 14 5 10', 54, 54, 365060, 1.35837, 268748
x, wida, manhattan, 1.5, 15puzzle_korf, '8 1 7 12 11 B 10 5 9 15 6 13 14 2 3 4', 62, 60, 3703549, 14.5962, 253733
x, wida, manhattan, 1.5, 15puzzle_korf, '9 B 4 10 1 14 15 3 12 6 5 7 11 13 8 2', 49, 52, 92073, 0.336639, 273507
x, wida, manhattan, 1.5, 15puzzle_korf, '11 5 1 14 4 12 10 B 2 7 13 3 9 15 6 8', 58, 54, 2114188, 7.84642, 269446
x, wida, manhattan, 1.5, 15puzzle_korf, '8 13 10 9 11 3 15 6 B 1 2 14 12 5 4 7', 58, 54, 359971, 1.33089, 270473
x, wida, manhattan, 1.5, 15puzzle_korf, '4 5 7 2 9 14 12 13 B 3 6 11 8 1 15 10', 48, 45, 78092, 0.285611, 273421
x, wida, manhattan, 1.5, 15puzzle_korf, '11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 B', 70, 72, 9207, 0.03346, 275164
x, wida, manhattan, 1.5, 15puzzle_korf, '12 9 B 6 8 3 5 14 2 4 11 7 10 1 15 13', 50, 48, 1928407, 7.13143, 270410
x, wida, manhattan, 1.5, 15puzzle_korf, '3 14 9 7 12 15 B 4 1 8 5 6 11 10 2 13', 57, 58, 48880, 0.180514, 270782
x, wida, manhattan, 1.5, 15puzzle_korf, '8 4 6 1 14 12 2 15 13 10 9 5 3 7 B 11', 51, 52, 282185, 1.03035, 273874
x, wida, manhattan, 1.5, 15puzzle_korf, '6 10 1 14 15 8 3 5 13 B 2 7 4 9 11 12', 51, 52, 157329, 0.567499, 277232
x, wida, manhattan, 1.5, 15puzzle_korf, '8 11 4 6 7 3 10 9 2 12 15 13 B 1 5 14', 55, 58, 148911, 0.548594, 271441
x, wida, manhattan, 1.5, 15puzzle_korf, '10 B 2 4 5 1 6 12 11 13 9 7 15 3 14 8', 59, 49, 2841880, 10.5297, 269892
x, wida, manhattan, 1.5, 15puzzle_korf, '12 5 13 11 2 10 B 9 7 8 4 3 14 6 15 1', 59, 58, 471115, 1.745, 269980
x, wida, manhattan, 1.5, 15puzzle_korf, '10 2 8 4 15 B 1 14 11 13 3 6 9 7 5 12', 60, 66, 411146, 1.55927, 263679
x, wida, manhattan, 1.5, 15puzzle_korf, '10 8 B 12 3 7 6 2 1 14 4 11 15 13 9 5', 60, 57, 2266409, 8.92958, 253809
