grupo, algorithm, heuristic, weight, domain, instance, cost, h0, generated, time, gen_per_sec
x, wida, manhattan, 2, 15puzzle_korf, '7 15 8 2 13 6 3 12 11 B 4 10 9 5 1 14', 73, 82, 372985, 1.44088, 258859
x, wida, manhattan, 2, 15puzzle_korf, '14 13 15 7 11 12 9 5 6 B 2 1 4 8 10 3', 73, 82, 925902, 4.13589, 223870
x, wida, manhattan, 2, 15puzzle_korf, '13 5 4 10 9 12 8 14 2 3 7 1 B 15 11 6', 83, 86, 33898, 0.13523, 250669
x, wida, manhattan, 2, 15puzzle_korf, '14 7 8 2 13 11 10 4 9 12 5 B 3 6 1 15', 75, 82, 87576, 0.342561, 255651
x, wida, manhattan, 2, 15puzzle_korf, '5 12 10 7 15 11 14 B 8 2 1 13 3 4 9 6', 80, 84, 1504400, 6.01272, 250203
x, wida, manhattan, 2, 15puzzle_korf, '4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 B', 78, 84, 401650, 1.71699, 233927
x, wida, manhattan, 2, 15puzzle_korf, '14 7 1 9 12 3 6 15 8 11 2 5 10 B 4 13', 68, 72, 15415, 0.062162, 247981
x, wida, manhattan, 2, 15puzzle_korf, '2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 B', 56, 60, 251123, 0.968074, 259405
x, wida, manhattan, 2, 15puzzle_korf, '12 11 15 3 8 B 4 2 6 13 9 5 14 1 10 7', 62, 64, 580293, 2.33573, 248442
x, wida, manhattan, 2, 15puzzle_korf, '3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 B', 58, 64, 19234, 0.07268, 264640
x, wida, manhattan, 2, 15puzzle_korf, '13 11 8 9 B 15 7 10 4 3 6 14 5 12 2 1', 81, 86, 180312, 0.685367, 263088
x, wida, manhattan, 2, 15puzzle_korf, '5 9 13 14 6 3 7 12 10 8 4 B 15 2 11 1', 77, 86, 54668, 0.217986, 250787
x, wida, manhattan, 2, 15puzzle_korf, '14 1 9 6 4 8 12 5 7 2 3 B 10 11 13 15', 61, 70, 205029, 0.985409, 208065
x, wida, manhattan, 2, 15puzzle_korf, '3 6 5 2 10 B 15 14 1 4 13 12 9 8 11 7', 62, 72, 2076, 0.008075, 257090
x, wida, manhattan, 2, 15puzzle_korf, '7 6 8 1 11 5 14 10 3 4 9 13 15 2 B 12', 73, 82, 1283873, 5.61498, 228651
x, wida, manhattan, 2, 15puzzle_korf, '13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 B', 84, 88, 34615, 0.16526, 209458
x, wida, manhattan, 2, 15puzzle_korf, '1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 B', 48, 48, 647219, 2.83685, 228147
x, wida, manhattan, 2, 15puzzle_korf, '15 14 B 4 11 1 6 13 7 5 8 9 3 2 10 12', 86, 92, 104676, 0.416862, 251105
x, wida, manhattan, 2, 15puzzle_korf, '6 B 14 12 1 15 9 10 11 4 7 2 8 3 5 13', 77, 86, 48202, 0.199201, 241977
x, wida, manhattan, 2, 15puzzle_korf, '7 11 8 3 14 B 6 15 1 4 13 9 5 12 2 10', 64, 72, 10983, 0.042294, 259682
x, wida, manhattan, 2, 15puzzle_korf, '6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 B', 70, 72, 30425, 0.127642, 238362
x, wida, manhattan, 2, 15puzzle_korf, '12 8 14 6 11 4 7 B 5 1 10 15 3 13 9 2', 58, 68, 18353, 0.07824, 234573
x, wida, manhattan, 2, 15puzzle_korf, '14 3 9 1 15 8 4 5 11 7 10 13 B 2 12 6', 73, 82, 17973, 0.070306, 255640
x, wida, manhattan, 2, 15puzzle_korf, '10 9 3 11 B 13 2 14 5 6 4 7 8 15 1 12', 61, 66, 65084, 0.249339, 261026
x, wida, manhattan, 2, 15puzzle_korf, '7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 B', 60, 68, 15388, 0.082365, 186827
x, wida, manhattan, 2, 15puzzle_korf, '11 4 2 7 1 B 10 15 6 9 14 8 3 13 5 12', 56, 64, 5522, 0.023691, 233084
x, wida, manhattan, 2, 15puzzle_korf, '5 7 3 12 15 13 14 8 B 10 9 6 1 4 2 11', 68, 80, 543007, 2.20246, 246546
x, wida, manhattan, 2, 15puzzle_korf, '14 1 8 15 2 6 B 3 9 12 10 13 4 7 5 11', 59, 66, 90855, 0.349847, 259699
x, wida, manhattan, 2, 15puzzle_korf, '13 14 6 12 4 5 1 B 9 3 10 2 15 11 8 7', 66, 72, 5986, 0.022056, 271400
x, wida, manhattan, 2, 15puzzle_korf, '9 8 B 2 15 1 4 14 3 10 7 5 11 13 6 12', 70, 76, 369278, 1.34859, 273826
x, wida, manhattan, 2, 15puzzle_korf, '12 15 2 6 1 14 4 8 5 3 7 B 10 13 9 11', 61, 70, 33195, 0.118461, 280219
x, wida, manhattan, 2, 15puzzle_korf, '12 8 15 13 1 B 5 4 6 3 2 11 9 7 14 10', 68, 76, 325815, 1.29746, 251118
x, wida, manhattan, 2, 15puzzle_korf, '14 10 9 4 13 6 5 8 2 12 7 B 1 3 11 15', 79, 86, 166172, 0.624694, 266005
x, wida, manhattan, 2, 15puzzle_korf, '14 3 5 15 11 6 13 9 B 10 2 12 4 1 7 8', 80, 84, 162884, 0.604987, 269236
x, wida, manhattan, 2, 15puzzle_korf, '6 11 7 8 13 2 5 4 1 10 3 9 14 B 12 15', 66, 72, 51143, 0.19472, 262649
x, wida, manhattan, 2, 15puzzle_korf, '1 6 12 14 3 2 15 8 4 5 13 9 B 7 11 10', 77, 78, 426092, 1.57768, 270075
x, wida, manhattan, 2, 15puzzle_korf, '12 6 B 4 7 3 15 1 13 9 8 11 2 14 5 10', 62, 72, 38257, 0.137247, 278746
x, wida, manhattan, 2, 15puzzle_korf, '8 1 7 12 11 B 10 5 9 15 6 13 14 2 3 4', 74, 80, 589791, 2.27457, 259298
x, wida, manhattan, 2, 15puzzle_korf, '9 B 4 10 1 14 15 3 12 6 5 7 11 13 8 2', 63, 70, 85184, 0.318963, 267065
x, wida, manhattan, 2, 15puzzle_korf, '11 5 1 14 4 12 10 B 2 7 13 3 9 15 6 8', 66, 72, 38714, 0.143268, 270221
x, wida, manhattan, 2, 15puzzle_korf, '8 13 10 9 11 3 15 6 B 1 2 14 12 5 4 7', 62, 72, 72219, 0.271745, 265760
x, wida, manhattan, 2, 15puzzle_korf, '4 5 7 2 9 14 12 13 B 3 6 11 8 1 15 10', 56, 60, 64584, 0.234779, 275084
x, wida, manhattan, 2, 15puzzle_korf, '11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 B', 88, 96, 522657, 2.00748, 260354
x, wida, manhattan, 2, 15puzzle_korf, '12 9 B 6 8 3 5 14 2 4 11 7 10 1 15 13', 60, 64, 1340879, 5.13539, 261105
x, wida, manhattan, 2, 15puzzle_korf, '3 14 9 7 12 15 B 4 1 8 5 6 11 10 2 13', 71, 78, 290103, 1.05768, 274282
x, wida, manhattan, 2, 15puzzle_korf, '8 4 6 1 14 12 2 15 13 10 9 5 3 7 B 11', 63, 70, 7221, 0.026629, 271171
x, wida, manhattan, 2, 15puzzle_korf, '6 10 1 14 15 8 3 5 13 B 2 7 4 9 11 12', 61, 70, 4619, 0.016902, 273281
x, wida, manhattan, 2, 15puzzle_korf, '8 11 4 6 7 3 10 9 2 12 15 13 B 1 5 14', 71, 78, 20077, 0.072049, 278658
x, wida, manhattan, 2, 15puzzle_korf, '10 B 2 4 5 1 6 12 11 13 9 7 15 3 14 8', 63, 66, 13304, 0.04912, 270847
x, wida, manhattan, 2, 15puzzle_korf, '12 5 13 11 2 10 B 9 7 8 4 3 14 6 15 1', 71, 78, 27441, 0.100818, 272184
x, wida, manhattan, 2, 15puzzle_korf, '10 2 8 4 15 B 1 14 11 13 3 6 9 7 5 12', 82, 88, 3523, 0.013102, 268890
x, wida, manhattan, 2, 15puzzle_korf, '10 8 B 12 3 7 6 2 1 14 4 11 15 13 9 5', 68, 76, 273062, 1.06069, 257439
x, wida, manhattan, 2, 15puzzle_korf, '14 9 12 13 15 4 8 10 B 2 1 7 3 11 5 6', 92, 100, 38788, 0.145771, 266089
x, wida, manhattan, 2, 15puzzle_korf, '12 11 B 8 10 2 13 15 5 4 7 3 6 9 14 1', 72, 80, 8566, 0.031978, 267872
x, wida, manhattan, 2, 15puzzle_korf, '13 8 14 3 9 1 B 7 15 5 4 10 12 2 6 11', 51, 58, 76354, 0.287364, 265705
x, wida, manhattan, 2, 15puzzle_korf, '3 15 2 5 11 6 4 7 12 9 1 B 13 14 10 8', 57, 58, 1279994, 4.8683, 262924
x, wida, manhattan, 2, 15puzzle_korf, '5 11 6 9 4 13 12 B 8 2 15 10 1 7 3 14', 64, 72, 12761, 0.048169, 264921
x, wida, manhattan, 2, 15puzzle_korf, '5 B 15 8 4 6 1 14 10 11 3 9 7 12 2 13', 67, 74, 9634, 0.035535, 271113
x, wida, manhattan, 2, 15puzzle_korf, '15 14 6 7 10 1 B 11 12 8 4 9 2 5 13 3', 65, 70, 288070, 1.07925, 266918
x, wida, manhattan, 2, 15puzzle_korf, '11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 B', 92, 96, 772785, 2.889, 267492
x, wida, manhattan, 2, 15puzzle_korf, '6 13 3 2 11 9 5 10 1 7 12 14 8 4 B 15', 53, 62, 241957, 0.920717, 262792
x, wida, manhattan, 2, 15puzzle_korf, '4 6 12 B 14 2 9 13 11 8 3 15 7 10 1 5', 79, 86, 15354, 0.057667, 266253
x, wida, manhattan, 2, 15puzzle_korf, '8 10 9 11 14 1 7 15 13 4 B 12 6 2 5 3', 74, 80, 358895, 1.41854, 253002
x, wida, manhattan, 2, 15puzzle_korf, '5 2 14 B 7 8 6 3 11 12 13 15 4 10 9 1', 59, 62, 645972, 2.8535, 226379
x, wida, manhattan, 2, 15puzzle_korf, '7 8 3 2 10 12 4 6 11 13 5 15 B 1 9 14', 59, 62, 24263, 0.11151, 217586
x, wida, manhattan, 2, 15puzzle_korf, '11 6 14 12 3 5 1 15 8 B 10 13 9 7 4 2', 77, 82, 537746, 2.31585, 232202
x, wida, manhattan, 2, 15puzzle_korf, '7 1 2 4 8 3 6 11 10 15 B 5 14 12 13 9', 50, 56, 552998, 2.37798, 232549
x, wida, manhattan, 2, 15puzzle_korf, '7 3 1 13 12 10 5 2 8 B 6 11 14 15 4 9', 59, 62, 869079, 3.25842, 266718
x, wida, manhattan, 2, 15puzzle_korf, '6 B 5 15 1 14 4 9 2 13 8 10 11 12 7 3', 67, 74, 52906, 0.223501, 236715
x, wida, manhattan, 2, 15puzzle_korf, '15 1 3 12 4 B 6 5 2 8 14 9 13 10 7 11', 60, 60, 837372, 3.43931, 243471
x, wida, manhattan, 2, 15puzzle_korf, '5 7 B 11 12 1 9 10 15 6 2 3 8 4 13 14', 52, 60, 815376, 3.17284, 256986
x, wida, manhattan, 2, 15puzzle_korf, '12 15 11 10 4 5 14 B 13 7 1 2 9 8 3 6', 70, 76, 458975, 1.84794, 248371
x, wida, manhattan, 2, 15puzzle_korf, '6 14 10 5 15 8 7 1 3 4 2 B 12 9 11 13', 67, 74, 26415, 0.102079, 258770
x, wida, manhattan, 2, 15puzzle_korf, '14 13 4 11 15 8 6 9 B 7 3 1 2 10 12 5', 80, 92, 181467, 0.679489, 267064
x, wida, manhattan, 2, 15puzzle_korf, '14 4 B 10 6 5 1 3 9 2 13 15 12 7 8 11', 56, 60, 4670, 0.017217, 271244
x, wida, manhattan, 2, 15puzzle_korf, '15 10 8 3 B 6 9 5 1 14 13 11 7 2 12 4', 71, 82, 98633, 0.387792, 254345
x, wida, manhattan, 2, 15puzzle_korf, 'B 13 2 4 12 14 6 9 15 1 10 3 11 5 8 7', 68, 68, 48868, 0.176491, 276887
x, wida, manhattan, 2, 15puzzle_korf, '3 14 13 6 4 15 8 9 5 12 10 B 2 7 1 11', 77, 82, 77235, 0.28861, 267610
x, wida, manhattan, 2, 15puzzle_korf, 'B 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15', 54, 56, 8843, 0.031404, 281588
x, wida, manhattan, 2, 15puzzle_korf, '11 B 15 8 13 12 3 5 10 1 4 6 14 9 7 2', 77, 86, 108826, 0.400513, 271717
x, wida, manhattan, 2, 15puzzle_korf, '13 B 9 12 11 6 3 5 15 8 1 10 4 14 2 7', 71, 78, 33089, 0.120885, 273723
x, wida, manhattan, 2, 15puzzle_korf, '14 10 2 1 13 9 8 11 7 3 6 12 15 5 4 B', 72, 80, 3343883, 12.3909, 269865
