grupo, algorithm, heuristic, weight, domain, instance, cost, h0, generated, time, gen_per_sec
x, wida, pdb555, 1.5, 15puzzle_korf, '7 15 8 2 13 6 3 12 11 B 4 10 9 5 1 14', 53, 64, 1854002, 0.411166, 4.50913e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '14 13 15 7 11 12 9 5 6 B 2 1 4 8 10 3', 57, 64, 39454506, 9.35854, 4.21588e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '13 5 4 10 9 12 8 14 2 3 7 1 B 15 11 6', 55, 64, 5836974, 1.19037, 4.9035e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '14 7 8 2 13 11 10 4 9 12 5 B 3 6 1 15', 59, 61, 170803557, 34.6519, 4.92913e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '5 12 10 7 15 11 14 B 8 2 1 13 3 4 9 6', 56, 63, 4519518, 0.937455, 4.82105e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 B', 56, 63, 8335167, 1.73231, 4.8116e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '14 7 1 9 12 3 6 15 8 11 2 5 10 B 4 13', 52, 63, 574355, 0.113787, 5.04763e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 B', 52, 45, 44582419, 9.03857, 4.93246e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '12 11 15 3 8 B 4 2 6 13 9 5 14 1 10 7', 50, 51, 6965362, 1.4434, 4.82568e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 B', 46, 51, 709194, 0.138405, 5.12405e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '13 11 8 9 B 15 7 10 4 3 6 14 5 12 2 1', 59, 67, 55743937, 11.1682, 4.99132e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '5 9 13 14 6 3 7 12 10 8 4 B 15 2 11 1', 57, 64, 51683987, 10.5382, 4.90445e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '14 1 9 6 4 8 12 5 7 2 3 B 10 11 13 15', 45, 52, 33797, 0.006511, 5.19075e+06
