grupo, algorithm, heuristic, weight, domain, instance, cost, h0, generated, time, gen_per_sec
x, wida, pdb555, 2, 15puzzle_korf, '7 15 8 2 13 6 3 12 11 B 4 10 9 5 1 14', 53, 86, 1854002, 0.40076, 4.62622e+06
x, wida, pdb555, 2, 15puzzle_korf, '14 13 15 7 11 12 9 5 6 B 2 1 4 8 10 3', 57, 86, 39454506, 8.73537, 4.51664e+06
x, wida, pdb555, 2, 15puzzle_korf, '13 5 4 10 9 12 8 14 2 3 7 1 B 15 11 6', 55, 86, 5836974, 1.37565, 4.24305e+06
x, wida, pdb555, 2, 15puzzle_korf, '14 7 8 2 13 11 10 4 9 12 5 B 3 6 1 15', 59, 82, 170803557, 37.1486, 4.59784e+06
x, wida, pdb555, 2, 15puzzle_korf, '5 12 10 7 15 11 14 B 8 2 1 13 3 4 9 6', 56, 84, 4519518, 0.916275, 4.93249e+06
x, wida, pdb555, 2, 15puzzle_korf, '4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 B', 56, 84, 8335167, 1.72159, 4.84155e+06
x, wida, pdb555, 2, 15puzzle_korf, '14 7 1 9 12 3 6 15 8 11 2 5 10 B 4 13', 52, 84, 574355, 0.11089, 5.1795e+06
x, wida, pdb555, 2, 15puzzle_korf, '2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 B', 52, 60, 44582419, 9.83505, 4.53301e+06
x, wida, pdb555, 2, 15puzzle_korf, '12 11 15 3 8 B 4 2 6 13 9 5 14 1 10 7', 50, 68, 6965362, 1.56276, 4.4571e+06
x, wida, pdb555, 2, 15puzzle_korf, '3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 B', 46, 68, 709194, 0.137419, 5.16081e+06
x, wida, pdb555, 2, 15puzzle_korf, '13 11 8 9 B 15 7 10 4 3 6 14 5 12 2 1', 59, 90, 55743937, 11.8395, 4.70831e+06
x, wida, pdb555, 2, 15puzzle_korf, '5 9 13 14 6 3 7 12 10 8 4 B 15 2 11 1', 57, 86, 51683987, 11.0717, 4.66812e+06
x, wida, pdb555, 2, 15puzzle_korf, '14 1 9 6 4 8 12 5 7 2 3 B 10 11 13 15', 45, 70, 33797, 0.006504, 5.19634e+06
x, wida, pdb555, 2, 15puzzle_korf, '3 6 5 2 10 B 15 14 1 4 13 12 9 8 11 7', 46, 76, 368682, 0.089965, 4.09806e+06
x, wida, pdb555, 2, 15puzzle_korf, '7 6 8 1 11 5 14 10 3 4 9 13 15 2 B 12', 59, 86, 21166143, 5.08974, 4.15859e+06
x, wida, pdb555, 2, 15puzzle_korf, '13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 B', 62, 92, 90671086, 19.1819, 4.72691e+06
x, wida, pdb555, 2, 15puzzle_korf, '1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 B', 42, 56, 1331970, 0.268584, 4.95923e+06
x, wida, pdb555, 2, 15puzzle_korf, '15 14 B 4 11 1 6 13 7 5 8 9 3 2 10 12', 66, 96, 126486366, 29.9043, 4.2297e+06
x, wida, pdb555, 2, 15puzzle_korf, '6 B 14 12 1 15 9 10 11 4 7 2 8 3 5 13', 55, 86, 3324841, 0.719451, 4.62136e+06
x, wida, pdb555, 2, 15puzzle_korf, '7 11 8 3 14 B 6 15 1 4 13 9 5 12 2 10', 46, 76, 201185, 0.039007, 5.15766e+06
x, wida, pdb555, 2, 15puzzle_korf, '6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 B', 52, 72, 5581793, 1.18539, 4.70883e+06
x, wida, pdb555, 2, 15puzzle_korf, '12 8 14 6 11 4 7 B 5 1 10 15 3 13 9 2', 54, 76, 18216951, 3.83172, 4.75425e+06
x, wida, pdb555, 2, 15puzzle_korf, '14 3 9 1 15 8 4 5 11 7 10 13 B 2 12 6', 59, 90, 29754109, 6.64865, 4.47521e+06
x, wida, pdb555, 2, 15puzzle_korf, '10 9 3 11 B 13 2 14 5 6 4 7 8 15 1 12', 49, 66, 4891311, 1.17427, 4.16542e+06
x, wida, pdb555, 2, 15puzzle_korf, '7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 B', 54, 76, 9419788, 2.10539, 4.47412e+06
x, wida, pdb555, 2, 15puzzle_korf, '11 4 2 7 1 B 10 15 6 9 14 8 3 13 5 12', 52, 72, 9532299, 1.98537, 4.80127e+06
x, wida, pdb555, 2, 15puzzle_korf, '5 7 3 12 15 13 14 8 B 10 9 6 1 4 2 11', 58, 80, 36462896, 8.20458, 4.44421e+06
x, wida, pdb555, 2, 15puzzle_korf, '14 1 8 15 2 6 B 3 9 12 10 13 4 7 5 11', 53, 82, 7690255, 2.00529, 3.83497e+06
x, wida, pdb555, 2, 15puzzle_korf, '13 14 6 12 4 5 1 B 9 3 10 2 15 11 8 7', 52, 72, 2256796, 0.67892, 3.3241e+06
x, wida, pdb555, 2, 15puzzle_korf, '9 8 B 2 15 1 4 14 3 10 7 5 11 13 6 12', 54, 80, 9947640, 3.22337, 3.0861e+06
