grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
x, a_star, pdb, 15puzzle_korf, '7 15 8 2 13 6 3 12 11 B 4 10 9 5 1 14', 67, 85, 13658, 0.006751, 2.02311e+06
x, a_star, pdb, 15puzzle_korf, '14 13 15 7 11 12 9 5 6 B 2 1 4 8 10 3', 73, 91, 14696, 0.00645, 2.27845e+06
x, a_star, pdb, 15puzzle_korf, '13 5 4 10 9 12 8 14 2 3 7 1 B 15 11 6', 63, 79, 495517, 0.145765, 3.39942e+06
x, a_star, pdb, 15puzzle_korf, '14 7 8 2 13 11 10 4 9 12 5 B 3 6 1 15', 75, 89, 878629, 0.184528, 4.76149e+06
x, a_star, pdb, 15puzzle_korf, '5 12 10 7 15 11 14 B 8 2 1 13 3 4 9 6', 68, 86, 106108, 0.022625, 4.68986e+06
x, a_star, pdb, 15puzzle_korf, '4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 B', 72, 92, 87547, 0.017852, 4.90404e+06
x, a_star, pdb, 15puzzle_korf, '14 7 1 9 12 3 6 15 8 11 2 5 10 B 4 13', 58, 82, 195651, 0.039109, 5.00271e+06
x, a_star, pdb, 15puzzle_korf, '2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 B', 62, 86, 1692, 0.000418, 4.04785e+06
x, a_star, pdb, 15puzzle_korf, '12 11 15 3 8 B 4 2 6 13 9 5 14 1 10 7', 76, 84, 121526, 0.023764, 5.11387e+06
x, a_star, pdb, 15puzzle_korf, '3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 B', 68, 86, 22762, 0.004691, 4.85227e+06
x, a_star, pdb, 15puzzle_korf, '13 11 8 9 B 15 7 10 4 3 6 14 5 12 2 1', 75, 91, 73067, 0.015177, 4.81432e+06
x, a_star, pdb, 15puzzle_korf, '5 9 13 14 6 3 7 12 10 8 4 B 15 2 11 1', 69, 83, 452165, 0.094109, 4.80469e+06
x, a_star, pdb, 15puzzle_korf, '14 1 9 6 4 8 12 5 7 2 3 B 10 11 13 15', 55, 77, 4106, 0.000918, 4.47277e+06
x, a_star, pdb, 15puzzle_korf, '3 6 5 2 10 B 15 14 1 4 13 12 9 8 11 7', 58, 78, 58255, 0.012485, 4.666e+06
x, a_star, pdb, 15puzzle_korf, '7 6 8 1 11 5 14 10 3 4 9 13 15 2 B 12', 77, 89, 4509, 0.001088, 4.1443e+06
x, a_star, pdb, 15puzzle_korf, '13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 B', 82, 104, 2284, 0.00061, 3.74426e+06
x, a_star, pdb, 15puzzle_korf, '1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 B', 48, 56, 147102, 0.029262, 5.02707e+06
x, a_star, pdb, 15puzzle_korf, '15 14 B 4 11 1 6 13 7 5 8 9 3 2 10 12', 90, 104, 80260, 0.016671, 4.81435e+06
x, a_star, pdb, 15puzzle_korf, '6 B 14 12 1 15 9 10 11 4 7 2 8 3 5 13', 75, 87, 78042, 0.015894, 4.91015e+06
x, a_star, pdb, 15puzzle_korf, '7 11 8 3 14 B 6 15 1 4 13 9 5 12 2 10', 56, 74, 223, 8.6e-05, 2.59302e+06
x, a_star, pdb, 15puzzle_korf, '6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 B', 68, 84, 15400, 0.003357, 4.58743e+06
x, a_star, pdb, 15puzzle_korf, '12 8 14 6 11 4 7 B 5 1 10 15 3 13 9 2', 66, 80, 7653, 0.00156, 4.90577e+06
x, a_star, pdb, 15puzzle_korf, '14 3 9 1 15 8 4 5 11 7 10 13 B 2 12 6', 75, 91, 1725, 0.000433, 3.98383e+06
x, a_star, pdb, 15puzzle_korf, '10 9 3 11 B 13 2 14 5 6 4 7 8 15 1 12', 53, 73, 15827, 0.003244, 4.87885e+06
x, a_star, pdb, 15puzzle_korf, '7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 B', 58, 82, 3540, 0.000761, 4.65177e+06
x, a_star, pdb, 15puzzle_korf, '11 4 2 7 1 B 10 15 6 9 14 8 3 13 5 12', 60, 92, 12288, 0.002508, 4.89952e+06
x, a_star, pdb, 15puzzle_korf, '5 7 3 12 15 13 14 8 B 10 9 6 1 4 2 11', 70, 86, 17064, 0.003481, 4.90204e+06
x, a_star, pdb, 15puzzle_korf, '14 1 8 15 2 6 B 3 9 12 10 13 4 7 5 11', 65, 75, 4898, 0.001096, 4.46898e+06
x, a_star, pdb, 15puzzle_korf, '13 14 6 12 4 5 1 B 9 3 10 2 15 11 8 7', 70, 88, 797, 0.000216, 3.68981e+06
x, a_star, pdb, 15puzzle_korf, '9 8 B 2 15 1 4 14 3 10 7 5 11 13 6 12', 74, 98, 164037, 0.033413, 4.90938e+06
x, a_star, pdb, 15puzzle_korf, '12 15 2 6 1 14 4 8 5 3 7 B 10 13 9 11', 55, 77, 7374, 0.001504, 4.90293e+06
x, a_star, pdb, 15puzzle_korf, '12 8 15 13 1 B 5 4 6 3 2 11 9 7 14 10', 62, 78, 5030, 0.001118, 4.49911e+06
x, a_star, pdb, 15puzzle_korf, '14 10 9 4 13 6 5 8 2 12 7 B 1 3 11 15', 77, 93, 81190, 0.016813, 4.829e+06
x, a_star, pdb, 15puzzle_korf, '14 3 5 15 11 6 13 9 B 10 2 12 4 1 7 8', 86, 100, 35033, 0.007309, 4.79313e+06
x, a_star, pdb, 15puzzle_korf, '6 11 7 8 13 2 5 4 1 10 3 9 14 B 12 15', 70, 80, 2211, 0.00054, 4.09444e+06
x, a_star, pdb, 15puzzle_korf, '1 6 12 14 3 2 15 8 4 5 13 9 B 7 11 10', 75, 87, 24579, 0.005254, 4.67815e+06
x, a_star, pdb, 15puzzle_korf, '12 6 B 4 7 3 15 1 13 9 8 11 2 14 5 10', 62, 70, 28870, 0.005903, 4.89073e+06
x, a_star, pdb, 15puzzle_korf, '8 1 7 12 11 B 10 5 9 15 6 13 14 2 3 4', 74, 80, 804094, 0.166917, 4.81733e+06
x, a_star, pdb, 15puzzle_korf, '9 B 4 10 1 14 15 3 12 6 5 7 11 13 8 2', 53, 67, 2693944, 0.536866, 5.01791e+06
x, a_star, pdb, 15puzzle_korf, '11 5 1 14 4 12 10 B 2 7 13 3 9 15 6 8', 64, 76, 2054, 0.000536, 3.83209e+06
x, a_star, pdb, 15puzzle_korf, '8 13 10 9 11 3 15 6 B 1 2 14 12 5 4 7', 66, 88, 1007204, 0.205034, 4.91238e+06
