grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
x, ida, pdb555, 15puzzle_korf, '7 15 8 2 13 6 3 12 11 B 4 10 9 5 1 14', 75, 85, 10423, 0.005218, 1.99751e+06
x, ida, pdb555, 15puzzle_korf, '14 13 15 7 11 12 9 5 6 B 2 1 4 8 10 3', 85, 91, 14775, 0.00645, 2.2907e+06
x, ida, pdb555, 15puzzle_korf, '13 5 4 10 9 12 8 14 2 3 7 1 B 15 11 6', 73, 79, 32133, 0.012723, 2.52558e+06
x, ida, pdb555, 15puzzle_korf, '14 7 8 2 13 11 10 4 9 12 5 B 3 6 1 15', 85, 89, 8036, 0.003166, 2.53822e+06
x, ida, pdb555, 15puzzle_korf, '5 12 10 7 15 11 14 B 8 2 1 13 3 4 9 6', 80, 86, 455581, 0.137517, 3.31291e+06
x, ida, pdb555, 15puzzle_korf, '4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 B', 84, 92, 6498, 0.001725, 3.76696e+06
x, ida, pdb555, 15puzzle_korf, '14 7 1 9 12 3 6 15 8 11 2 5 10 B 4 13', 74, 82, 38034, 0.009449, 4.02519e+06
x, ida, pdb555, 15puzzle_korf, '2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 B', 78, 86, 625, 0.000192, 3.25521e+06
x, ida, pdb555, 15puzzle_korf, '12 11 15 3 8 B 4 2 6 13 9 5 14 1 10 7', 78, 84, 2023, 0.00055, 3.67818e+06
x, ida, pdb555, 15puzzle_korf, '3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 B', 76, 86, 1143, 0.000342, 3.34211e+06
x, ida, pdb555, 15puzzle_korf, '13 11 8 9 B 15 7 10 4 3 6 14 5 12 2 1', 83, 91, 23831, 0.005979, 3.98578e+06
x, ida, pdb555, 15puzzle_korf, '5 9 13 14 6 3 7 12 10 8 4 B 15 2 11 1', 73, 83, 110265, 0.027316, 4.03665e+06
x, ida, pdb555, 15puzzle_korf, '14 1 9 6 4 8 12 5 7 2 3 B 10 11 13 15', 69, 77, 1043, 0.000328, 3.17988e+06
x, ida, pdb555, 15puzzle_korf, '3 6 5 2 10 B 15 14 1 4 13 12 9 8 11 7', 72, 78, 17865, 0.004727, 3.77935e+06
x, ida, pdb555, 15puzzle_korf, '7 6 8 1 11 5 14 10 3 4 9 13 15 2 B 12', 83, 89, 28807, 0.006922, 4.16166e+06
x, ida, pdb555, 15puzzle_korf, '13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 B', 96, 104, 1806, 0.000522, 3.45977e+06
x, ida, pdb555, 15puzzle_korf, '1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 B', 48, 56, 48205, 0.011664, 4.1328e+06
x, ida, pdb555, 15puzzle_korf, '15 14 B 4 11 1 6 13 7 5 8 9 3 2 10 12', 92, 104, 14447, 0.003499, 4.12889e+06
x, ida, pdb555, 15puzzle_korf, '6 B 14 12 1 15 9 10 11 4 7 2 8 3 5 13', 81, 87, 1461741, 0.353092, 4.13983e+06
x, ida, pdb555, 15puzzle_korf, '7 11 8 3 14 B 6 15 1 4 13 9 5 12 2 10', 66, 74, 7985, 0.002035, 3.92383e+06
x, ida, pdb555, 15puzzle_korf, '6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 B', 76, 84, 17215, 0.004498, 3.82726e+06
x, ida, pdb555, 15puzzle_korf, '12 8 14 6 11 4 7 B 5 1 10 15 3 13 9 2', 70, 80, 1035, 0.000295, 3.50847e+06
x, ida, pdb555, 15puzzle_korf, '14 3 9 1 15 8 4 5 11 7 10 13 B 2 12 6', 83, 91, 351, 0.000123, 2.85366e+06
x, ida, pdb555, 15puzzle_korf, '10 9 3 11 B 13 2 14 5 6 4 7 8 15 1 12', 61, 73, 12522, 0.003229, 3.87798e+06
x, ida, pdb555, 15puzzle_korf, '7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 B', 76, 82, 515639, 0.125473, 4.10956e+06
x, ida, pdb555, 15puzzle_korf, '11 4 2 7 1 B 10 15 6 9 14 8 3 13 5 12', 86, 92, 3298, 0.000856, 3.8528e+06
x, ida, pdb555, 15puzzle_korf, '5 7 3 12 15 13 14 8 B 10 9 6 1 4 2 11', 80, 86, 185597, 0.045374, 4.09038e+06
x, ida, pdb555, 15puzzle_korf, '14 1 8 15 2 6 B 3 9 12 10 13 4 7 5 11', 69, 75, 1355, 0.000389, 3.48329e+06
x, ida, pdb555, 15puzzle_korf, '13 14 6 12 4 5 1 B 9 3 10 2 15 11 8 7', 80, 88, 16749, 0.004286, 3.90784e+06
x, ida, pdb555, 15puzzle_korf, '9 8 B 2 15 1 4 14 3 10 7 5 11 13 6 12', 88, 98, 1331, 0.000356, 3.73876e+06
x, ida, pdb555, 15puzzle_korf, '12 15 2 6 1 14 4 8 5 3 7 B 10 13 9 11', 65, 77, 2477, 0.000654, 3.78746e+06
x, ida, pdb555, 15puzzle_korf, '12 8 15 13 1 B 5 4 6 3 2 11 9 7 14 10', 66, 78, 992, 0.000283, 3.5053e+06
x, ida, pdb555, 15puzzle_korf, '14 10 9 4 13 6 5 8 2 12 7 B 1 3 11 15', 85, 93, 38977, 0.009519, 4.09465e+06
x, ida, pdb555, 15puzzle_korf, '14 3 5 15 11 6 13 9 B 10 2 12 4 1 7 8', 92, 100, 40353, 0.010437, 3.86634e+06
x, ida, pdb555, 15puzzle_korf, '6 11 7 8 13 2 5 4 1 10 3 9 14 B 12 15', 76, 80, 62066, 0.015593, 3.98038e+06
x, ida, pdb555, 15puzzle_korf, '1 6 12 14 3 2 15 8 4 5 13 9 B 7 11 10', 81, 87, 18532, 0.004591, 4.03659e+06
x, ida, pdb555, 15puzzle_korf, '12 6 B 4 7 3 15 1 13 9 8 11 2 14 5 10', 64, 70, 193958, 0.047125, 4.11582e+06
x, ida, pdb555, 15puzzle_korf, '8 1 7 12 11 B 10 5 9 15 6 13 14 2 3 4', 76, 80, 198381, 0.048025, 4.13079e+06
x, ida, pdb555, 15puzzle_korf, '9 B 4 10 1 14 15 3 12 6 5 7 11 13 8 2', 59, 67, 5589637, 1.3436, 4.16019e+06
